1,1,2026-02-17 17:24:25.593,Closed
2,2,2026-02-17 17:32:20.517,Closed
3,2,2026-02-17 17:57:14.913,Closed
4,3,2026-02-17 17:58:40.193,Closed
6,3,2026-02-17 18:12:04.450,Closed
7,3,2026-02-17 18:12:24.210,Closed
8,2,2026-02-17 18:17:52.700,Closed
9,2,2026-02-17 18:18:22.250,Closed
10,1,2026-02-17 18:24:17.177,Closed
11,1,2026-02-17 18:24:31.637,Closed
12,7,2026-02-17 19:01:19.387,Closed
13,7,2026-02-17 19:01:53.093,Closed
14,7,2026-02-18 08:19:12.680,Closed
15,7,2026-02-18 08:19:41.323,Closed
16,5,2026-02-18 08:30:24.740,Closed
17,1,2026-02-18 10:40:49.957,Closed
18,1,2026-02-18 10:41:22.977,Closed
19,1,2026-02-18 13:57:04.443,Closed
20,1,2026-02-18 13:58:03.783,Closed
21,7,2026-02-20 10:05:44.320,Closed
1025,1,2026-03-02 22:51:10.653,Closed
1026,3,2026-03-02 22:51:52.477,Closed
1027,6,2026-03-02 23:07:38.990,Closed
1028,6,2026-03-02 23:09:35.250,Closed
1029,2,2026-03-02 23:10:44.983,Closed
1030,9,2026-03-02 23:11:12.753,Closed
1031,8,2026-03-02 23:11:41.673,Closed
1032,2,2026-03-02 23:12:29.800,Closed
1033,7,2026-03-02 23:13:02.577,Closed
1034,1,2026-03-02 23:13:09.707,Closed
1035,7,2026-03-02 23:13:23.973,Closed
1036,1,2026-03-02 23:25:05.093,Closed
1037,7,2026-03-03 09:24:15.140,Closed
1038,10,2026-03-03 09:24:29.030,Closed
1039,1,2026-03-03 13:37:56.930,Closed
1040,2,2026-03-03 13:40:34.520,Closed
1041,7,2026-03-03 13:43:20.957,Closed
1042,7,2026-03-03 13:49:09.957,Closed
1043,1,2026-03-03 15:09:20.360,Closed
1044,10,2026-03-03 15:16:46.693,Closed
1045,7,2026-03-03 15:32:54.157,Closed
1046,7,2026-03-03 15:33:26.127,Closed
1047,4,2026-03-04 10:11:11.020,Closed
1048,10,2026-03-04 10:11:34.880,Closed
1049,5,2026-03-04 10:11:48.577,Closed
1050,7,2026-03-04 10:12:06.337,Closed
1051,9,2026-03-04 11:58:40.117,Closed
1052,3,2026-03-04 12:23:28.750,Closed
1053,1,2026-03-04 12:36:19.170,Closed
1054,10,2026-03-04 12:36:28.917,Closed
1055,1,2026-03-04 12:40:46.860,Closed
1056,8,2026-03-04 12:40:57.487,Closed
1057,9,2026-03-04 12:46:04.850,Closed
1058,5,2026-03-04 12:46:21.127,Closed
1059,7,2026-03-04 13:03:09.237,Closed
1060,1,2026-03-04 14:29:37.397,Closed
1061,10,2026-03-04 14:38:59.650,Closed
1062,1,2026-03-04 14:51:42.060,Closed
1063,6,2026-03-04 14:53:02.370,Closed
1064,1,2026-03-04 14:54:11.683,Closed
1065,1,2026-03-04 15:01:18.907,Closed
1066,6,2026-03-04 15:02:13.433,Closed
1067,1,2026-03-04 15:19:40.640,Closed
1068,7,2026-03-04 15:22:32.323,Closed
1069,1,2026-03-04 15:26:07.243,Closed
1070,1,2026-03-04 15:37:08.703,Closed
1071,1,2026-03-04 15:46:19.890,Closed
1072,1,2026-03-04 15:54:52.000,Closed
1073,1,2026-03-05 13:56:27.923,Closed
1074,1,2026-03-05 15:14:38.133,Closed
1075,1,2026-03-05 16:34:23.950,Closed
1076,9,2026-03-05 16:34:40.960,Closed
1077,1,2026-03-07 14:14:55.313,Closed
1078,9,2026-03-11 19:40:43.777,Closed
1079,7,2026-03-11 19:40:58.843,Closed
1080,4,2026-03-13 11:10:53.373,Preparing
1081,5,2026-03-13 11:11:11.757,Preparing
1082,8,2026-03-13 11:11:22.250,Preparing
1083,3,2026-03-13 11:11:35.610,Preparing
